tracklet_id,video_id,pose_motion_energy,joint_angle_var,accel_mean,bbox_scale_var,flag_reflection,velocity_mean,limb_amplitude,flag_camera_motion,trajectory_curvature,velocity_max
0,test,47.28,0.004940725834588631,1.1585999,0.0,0,4.6345277,169.8,0,1.8657904939416845,7.3824115
1,test,21.69,0.7978677116130122,3.312824,0.0,0,2.7473361,40.9,0,3.422307453191724,12.0415945
2,test,45.78,0.004945359451103347,0.9735876,0.0,0,4.76185,167.9,0,1.4944973762883134,7.5
3,test,22.89,0.8210610874155118,3.339949,0.0,0,2.8111372,40.4,0,3.290030511405554,12.0415945
4,test,45.34,0.0049697493435429205,0.88595814,0.0,0,5.076971,165.2,0,1.3593612155018484,7.5
5,test,22.88,0.8504794262008346,3.362511,0.0,0,2.9590752,39.75,0,2.8672595652038058,12.0415945
6,test,45.06,0.0050303557183885295,0.8779896,0.0,0,5.28406,163.0,0,1.1996840732094853,7.5
7,test,22.92,0.8805884329350508,3.2529724,0.0,0,3.1801407,39.62,0,2.509768337194703,12.0415945
8,test,43.4,0.005079215717452998,0.8936235,0.0,0,5.6049094,160.6,0,1.0939373263749064,8.321658
9,test,22.83,0.8746656978666871,3.2195125,0.0,0,3.1391861,40.34,0,2.545227947181413,12.0415945
10,test,43.1,0.004292854012376476,0.87334645,0.0,0,5.918152,158.6,0,1.0379173498094014,8.321658
11,test,21.45,0.72064380997725,3.0498555,0.0,0,3.111326,41.9,0,2.3862780563213617,12.0415945
12,test,42.7,0.003951818852242883,0.76881176,0.0,0,6.307896,156.6,0,1.0273694790167625,8.321658
13,test,21.58,0.6718816532647188,2.730611,0.0,0,2.7976751,42.12,0,2.7952496430502323,12.0415945
14,test,40.62,0.003749855948659492,0.8145003,0.0,0,6.5409703,154.8,0,1.035023521335765,8.321658
15,test,21.81,0.5822387037233107,2.484366,0.0,0,2.8187408,41.47,0,2.7092006709470384,12.0415945
16,test,37.75,0.00373772784756604,0.74316025,0.0,0,6.668637,152.2,0,1.0401420724724135,8.321658
17,test,22.64,0.4999195590934121,2.4516604,0.0,0,2.7798822,40.47,0,2.903052377954488,12.0415945
18,test,36.66,0.004866053461653673,0.8299795,0.0,0,6.5024467,149.5,0,1.04097266504594,8.321658
19,test,23.16,0.3923512858148299,2.585883,0.0,0,2.810755,38.75,0,2.8319757295301207,12.0415945
20,test,36.3,0.008130701634886297,0.81018734,0.0,0,6.367727,146.6,0,1.0541541141192867,8.321658
21,test,24.0,0.27094033786833416,1.8171234,0.0,0,2.9190226,37.03,0,2.634374883735942,12.0415945
22,test,35.72,0.006483034327100566,0.8900151,0.0,0,6.0088987,143.6,0,1.0577984042401065,8.321658
23,test,22.34,0.13872471100703543,1.0722241,0.0,0,2.2375846,34.88,0,1.1341360822695699,3.875
24,test,35.12,0.007142719480019608,0.9515539,0.0,0,5.786384,142.8,0,1.0520698309858012,8.321658
25,test,22.16,0.22410331997659744,1.0860745,0.0,0,2.3542511,34.9,0,1.0447585391974468,3.875
26,test,33.1,0.007181659667676447,0.94303554,0.0,0,5.533002,141.9,0,1.0573687593948822,8.321658
27,test,21.73,0.2280354098202965,1.017547,0.0,0,2.391519,34.84,0,1.0403100617717504,3.875
28,test,31.05,0.006494380305121722,0.97384185,0.0,0,5.2683554,140.5,0,1.0544211384977649,8.321658
29,test,21.84,0.2707446397669683,1.1107897,0.0,0,2.2481613,34.4,0,1.0537934559313833,3.875
30,test,26.4,0.007143160763377071,0.9728436,0.0,0,5.0707245,139.2,0,1.040150131547902,8.321658
31,test,20.95,0.28543011340079066,1.050311,0.0,0,2.1109002,34.4,0,1.0605812722084818,3.875
32,test,26.4,0.00980304973406471,1.0379457,0.0,0,4.9187346,137.4,0,1.0469606700466156,8.321658
33,test,20.22,0.3203622603558013,1.0292324,0.0,0,2.0634193,34.3,0,1.0567750744246591,3.875
34,test,26.4,0.013698028762996013,1.032446,0.0,0,4.83846,136.0,0,1.0384565625454787,8.321658
35,test,20.39,0.3553625107038587,1.1583835,0.0,0,2.1688035,34.7,0,1.0557222349940765,4.506939
36,test,26.36,0.016308437539827157,0.950458,0.0,0,4.737382,135.6,0,1.0314646325622105,8.321658
37,test,19.9,0.38287242454539966,1.134,0.0,0,2.1371613,35.47,0,1.0589089148462896,4.506939
38,test,26.8,0.02336190570442065,1.0531889,0.0,0,4.3853636,134.9,0,1.0304329941226298,7.2111025
39,test,19.52,0.3904511276316336,1.0111462,0.0,0,2.2020485,36.28,0,1.0587805001019546,4.506939
40,test,27.78,0.025892871573290437,1.1062489,0.0,0,4.173365,134.2,0,1.0246552158794406,6.9641943
41,test,18.45,0.3799728855784457,1.1604757,0.0,0,2.2294436,37.16,0,1.0509697970080185,4.506939
42,test,28.16,0.027107002826376632,1.2012444,0.0,0,3.8465226,133.1,0,1.023447381890775,6.3245554
43,test,17.83,0.3812356595931645,1.1510934,0.0,0,2.284837,36.9,0,1.0406472741213286,4.506939
44,test,28.81,0.027219527701768224,1.1196235,0.0,0,3.5915523,132.0,0,1.0343047952075544,5.59017
45,test,17.2,0.37272807639689626,0.9948865,0.0,0,2.2681704,36.25,0,1.0408829861275384,4.506939
46,test,29.12,0.0249632803866051,1.060485,0.0,0,3.3753242,131.0,0,1.0327787408418931,5.59017
47,test,16.23,0.36940439434161726,0.84702235,0.0,0,2.040958,35.94,0,1.0403186052148092,4.506939
48,test,29.6,0.02589959466554385,1.0544475,0.0,0,3.3476257,131.4,1,1.0247833869703007,5.59017
49,test,15.24,0.34938483417479627,0.8045263,0.0,1,1.976752,35.6,1,1.0713334371601293,4.506939
50,test,33.28,0.025952392523570136,0.94730467,0.0,0,3.2809594,131.2,1,1.0252997869942835,5.59017
51,test,14.43,0.3477974276126463,0.81431186,0.0,1,1.8978833,35.8,1,1.1612441716654653,4.506939
52,test,33.03,0.030050122175176275,0.93571335,0.0,0,3.2809594,131.5,1,1.0252997869942835,5.59017
53,test,13.62,0.33902121621217696,0.74788517,0.0,1,1.8265482,36.03,1,1.2345801565745225,4.506939
54,test,33.75,0.03260731248744808,0.9285187,0.0,0,3.2075777,131.4,0,1.0231740929493989,5.59017
55,test,12.63,0.3202782131794216,0.7440618,0.0,1,1.6866409,36.84,0,1.3502731604580758,4.506939
56,test,33.84,0.03724372836137048,0.90880626,0.0,0,3.1566489,130.6,1,1.0292812135198908,5.59017
